branch_id,time_s,spectral_abscissa_s_inv,numerical_abscissa_s_inv,dominant_frequency_s_inv,dominant_mode_condition_number,dominant_right_constitutive_fraction,dominant_left_constitutive_fraction,adjacent_leader_rotation_deg,adjacent_commutator
onset_x,1.6250000000000001e-06,1573320.6794181583,105163157344.29776,2.7575643327581348e-11,544.2728981554197,0.9915756108834749,0.999999348651378,3.254739283418595,5.22018651925718e-06
onset_x,1.6875000000000001e-06,2609835.479843767,105162112445.22865,4.197572290893962e-12,545.0916280951393,0.9772555542453938,0.9999934136636938,3.4121018851596983,7.058114346420258e-06
onset_x,1.7500000000000002e-06,2798070.97576682,105159320230.16254,1.254409304947595e-11,544.0639639114327,0.9739600226634371,0.9999867846635049,0.6128135597315517,4.31508766002176e-06
onset_x,1.8125000000000002e-06,2447547.0823301524,105155760261.2586,9.597262187970709e-12,542.6474185472063,0.9799284268749933,0.9999882451095266,1.1425211712930758,1.6716966394107045e-06
onset_x,1.8750000000000003e-06,2042902.6556881482,105152127612.66399,4.8921416599088067e-11,541.8894140458003,0.9859090380271336,0.9999917505623973,1.328739842999529,1.2041213871474987e-06
onset_x,1.9375e-06,1729987.8558871415,105148679807.4626,5.997477064317979e-11,541.6063808868618,0.9898395357163273,0.9999941755282632,1.0337275163432684,9.536912252469354e-07
onset_x,2e-06,1495399.3802504607,105145431696.83377,1.930203461621044e-11,541.5811074836556,0.9923773761926185,0.9999957104395629,0.7780166132721565,7.213650704756075e-07
onset_x,2.1875000000000002e-06,1053892.1395256966,105136674525.32303,1.2671391956401384e-10,542.342982982127,0.996180111439421,0.9999979209596245,1.470127887572595,1.3559022300857878e-06
onset_x,2.375e-06,795101.9087640792,105129093513.31194,2.5066188006707055e-11,544.1066543305826,0.9978069608581163,0.9999988487597444,0.8646260457578995,8.553001668421374e-07
onset_x,2.5625e-06,637221.6766876115,105122575602.01021,1.932665254933686e-10,546.8876271208071,0.9985779591017877,0.9999992549626469,0.5283811819505709,4.624036332299413e-07
onset_x,2.75e-06,524611.4669625955,105116984820.36252,4.0256327326043873e-11,551.0199610419369,0.9990246843830403,0.9999994907504055,0.377299206433628,3.2844659776896255e-07
