case_id,shear,time_s,cauchy_shear_Pa,first_piola_shear_Pa,temperature_K,temperature_rise_K,plastic_work_J_m3,generated_heat_J_m3,stored_energy_J_m3
rate_5e3_T293,1.4,0.00028,418233332.85536695,418233332.85536695,542.2994842462371,249.14948424623708,658278075.5846236,592450268.02616,65827807.558462195
rate_1p3e4_T293,0.005,3.8461538461538463e-07,176010149.99999994,176010149.99999994,293.15,0.0,1.7439955243073462e-10,1.5695959718766116e-10,1.743995524307346e-11
rate_1p3e4_T293,0.00625,4.807692307692307e-07,220019824.21874166,220019824.21874166,293.15,0.0,4.691115104561484e-08,4.222003594105335e-08,4.691115104561483e-09
rate_1p3e4_T293,0.0075,5.769230769230769e-07,264034256.2491899,264034256.2491899,293.1500000000021,2.1032064978498966e-12,5.557126487879348e-06,5.0014138390914135e-06,5.557126487879346e-07
rate_1p3e4_T293,0.00875,6.730769230769232e-07,308054397.6122768,308054397.6122768,293.15000000013475,1.347757461189758e-10,0.0003561247138285276,0.0003205122424456748,3.561247138285275e-05
rate_1p3e4_T293,0.01,7.692307692307693e-07,352081198.3514511,352081198.3514511,293.15000000582546,5.825484095112188e-09,0.015391600438261075,0.01385244039443497,0.0015391600438261072
rate_1p3e4_T293,0.0125,9.615384615384615e-07,440157366.2093943,440157366.2093943,293.1500055952887,5.595288712356705e-06,14.783317309673594,13.304985578706235,1.478331730967359
rate_1p3e4_T293,0.015,1.1538461538461538e-06,527896885.9662795,527896885.9662795,293.1520658815521,0.002065881552141491,5458.267500111614,4912.440750100453,545.8267500111613
rate_1p3e4_T293,0.0175,1.3461538461538464e-06,580095921.9681369,580095921.9681369,293.3741897869683,0.22418978696833847,592332.037040724,533098.8333366514,59233.203704072366
rate_1p3e4_T293,0.02,1.5384615384615385e-06,570656823.9033499,570656823.9033499,293.97949001838134,0.8294900183813638,2191596.320854122,1972436.688768709,219159.6320854121
rate_1p3e4_T293,0.0275,2.1153846153846155e-06,556219552.4769217,556219552.4769217,295.6687704989616,2.518770498961601,6654845.792323994,5989361.21309159,665484.579232399
rate_1p3e4_T293,0.035,2.6923076923076928e-06,549629261.5289968,549629261.5289968,297.2824484495494,4.132448449549429,10918345.751555333,9826511.176399793,1091834.5751555325
rate_1p3e4_T293,0.0425,3.2692307692307696e-06,545498647.6215763,545498647.6215763,298.8664949969586,5.716494996958602,15103556.55389676,13593200.898507074,1510355.6553896759
rate_1p3e4_T293,0.05,3.846153846153846e-06,542572427.969698,542572427.969698,300.4334839168153,7.283483916815328,19243699.38319628,17319329.444876637,1924369.938319628
rate_1p3e4_T293,0.0625,4.807692307692308e-06,538917404.4549081,538917404.4549081,303.02267679753623,9.872676797536258,26084608.213470124,23476147.39212311,2608460.8213470136
