horizon_id,time_s,norm_id,selector_id,n1,n2,n3,k_m_inv,reference_log_gain,reference_gain,wavenumber_interior,boundary_classification
onset,1.4375e-06,dislocation_x2,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.68302049489072,16042.881258810934,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,dislocation_x2,mechanical_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,-0.9707608450878453,0.3787947243309395,True,interior_finite_band_candidate
onset,1.4375e-06,dislocation_x2,constitutive_to_temperature,6.123233995736766e-17,1.0,6.123233995736766e-17,9486.832980505136,0.0016977153218467947,1.0016991572563865,True,interior_finite_band_candidate
onset,1.4375e-06,all_constitutive_x2,full_to_full,0.0,0.0,1.0,299999.9999999999,9.68302072133469,16042.884891625084,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,all_constitutive_x2,constitutive_to_constitutive,0.0049949714977768475,0.9999875199159888,0.00010135090718695746,71848.05580700038,0.6217170382103192,1.8621226341580954,True,interior_finite_band_candidate
onset,1.4375e-06,all_constitutive_x2,full_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,0.6254027228601126,1.868998494309324,True,interior_finite_band_candidate
onset,1.4375e-06,all_constitutive_x2,constitutive_to_full,-0.00210162273738339,0.9999977864524807,0.00010135091865112035,2026.775483038242,2.5923474945207623,13.361099926143694,True,interior_finite_band_candidate
onset,1.4375e-06,all_constitutive_x2,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.68302049489072,16042.881258810934,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
onset,1.4375e-06,all_constitutive_x2,mechanical_to_constitutive,-0.004826789617667796,-0.9999883509830202,4.967638738752442e-07,51247.16432640491,-1.6639067667105631,0.18939760060500987,True,interior_finite_band_candidate
onset,1.4375e-06,all_constitutive_x2,constitutive_to_temperature,0.005039507470694957,0.9999872964655333,0.00010135090718695746,8893.640081294103,-3.776021412778176e-05,0.9999622404987801,True,interior_finite_band_candidate
terminal,0.00014,baseline,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367806429460348,639093.7456842271,True,interior_finite_band_candidate
terminal,0.00014,baseline,constitutive_to_constitutive,-0.004594551025745008,-0.9999894398586743,0.0001013509090619021,6836.8536687706555,13.362185806582685,635511.7168031065,True,interior_finite_band_candidate
terminal,0.00014,baseline,full_to_constitutive,-0.004607724613208811,-0.999989379244541,0.00010135090718629132,6780.438719206001,13.36179355142128,635262.4829368882,True,interior_finite_band_candidate
terminal,0.00014,baseline,constitutive_to_full,-0.004585124154294272,-0.9999894831269394,0.00010135090718695746,6832.941695363745,13.362397381421063,635646.189316875,True,interior_finite_band_candidate
terminal,0.00014,baseline,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
terminal,0.00014,baseline,mechanical_to_constitutive,6.123233995736766e-17,1.0,6.123233995736766e-17,9486.832980505136,8.982941053351597,7966.026205076423,True,interior_finite_band_candidate
terminal,0.00014,baseline,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,9.636462544540082,15313.078475113085,True,interior_finite_band_candidate
terminal,0.00014,mechanical_x0.5,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368174946421483,639329.3059705817,True,interior_finite_band_candidate
terminal,0.00014,mechanical_x0.5,constitutive_to_constitutive,-0.004594551025745008,-0.9999894398586743,0.0001013509090619021,6836.8536687706555,13.362185806582685,635511.7168031065,True,interior_finite_band_candidate
terminal,0.00014,mechanical_x0.5,full_to_constitutive,-0.0046077225706221995,-0.9999893792539528,0.00010135090718762359,6826.514360367037,13.362095218759212,635454.149787364,True,interior_finite_band_candidate
terminal,0.00014,mechanical_x0.5,constitutive_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368114726702938,639290.8068989319,True,interior_finite_band_candidate
terminal,0.00014,mechanical_x0.5,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
terminal,0.00014,mechanical_x0.5,mechanical_to_constitutive,6.123233995736766e-17,1.0,6.123233995736766e-17,9486.832980505136,8.289793872791652,3983.013102538211,True,interior_finite_band_candidate
terminal,0.00014,mechanical_x0.5,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,9.636462544540082,15313.078475113085,True,interior_finite_band_candidate
