horizon_id,norm_id,selector_id,n1,n2,n3,k_m_inv,reference_log_gain,reference_gain,previous_v3_reference_log_gain,direct_reference_log_gain_improvement,local_stationarity_pass,wavenumber_interior
onset,baseline,full_to_full,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.770384681240717,17507.500730256124,9.683020551501777,0.08736412973894048,True,True
onset,baseline,mechanical_to_constitutive,-0.019171160167850095,-0.9847561708870931,0.17288074073652338,18358.680985724604,-0.5793326397630573,0.5602721451805971,-0.9707595861506177,0.3914269463875605,True,True
onset,baseline,mechanical_to_mechanical,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.77038462725364,17507.499785077343,9.68302049489072,0.08736413236291973,True,True
onset,dislocation_x2,constitutive_to_constitutive,0.004422330847870531,0.9999902154128487,0.0001098564352102502,80968.614745125,1.0931265225631854,2.9835877596996365,1.0928893821765202,0.0002371403866652244,True,True
onset,dislocation_x2,constitutive_to_full,0.48875388138103054,0.48932415904174503,0.7222752320362831,22306.301284476845,2.288688371736495,9.861993924364509,1.8943091550792952,0.39437921665719977,True,True
onset,dislocation_x2,constitutive_to_temperature,0.0,0.0,1.0,299.99999999999994,0.002454031852101874,1.0024570454529207,0.0016977153218467947,0.0007563165302550794,True,False
onset,dislocation_x2,full_to_constitutive,0.005002343938148132,0.9999874830632223,0.00010135090718695746,62926.8732923179,1.1075702588331209,3.0269946385627917,1.100092502687883,0.007477756145237935,True,True
onset,dislocation_x2,full_to_full,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.770384681240882,17507.500730259017,9.683020551501777,0.08736412973910568,True,True
onset,dislocation_x2,mechanical_to_constitutive,-0.019171160167850095,-0.9847561708870931,0.17288074073652338,18358.680985724604,-0.5793338988822098,0.5602714397316526,-0.9707608450878453,0.39142694620563556,True,True
onset,dislocation_x2,mechanical_to_mechanical,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.77038462725364,17507.499785077343,9.68302049489072,0.08736413236291973,True,True
onset,mechanical_x0.5,constitutive_to_constitutive,0.004192946774845538,0.999991205869068,8.591781336058526e-05,54550.4255834816,0.6219422324144918,1.8625420206026924,0.6217170382103192,0.00022519420417255187,True,True
onset,mechanical_x0.5,constitutive_to_full,0.5233411887919746,0.5251000568742161,0.6711064970513233,21315.05081667147,2.9692938288588957,19.478159823876485,2.5923474945207623,0.3769463343381334,True,True
onset,mechanical_x0.5,constitutive_to_temperature,0.0,0.0,1.0,299.99999999999994,0.00063970767657686,1.0006399123331704,-3.776021412778176e-05,0.0006774678907046417,True,False
onset,mechanical_x0.5,full_to_constitutive,-0.06392988594077599,-0.9751481820999236,0.21212965995073313,18285.392935599306,0.630113808215788,1.8778242789344723,0.6254027228601126,0.004711085355675437,True,True
onset,mechanical_x0.5,full_to_full,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.770384843184184,17507.503565481715,9.68302072133469,0.08736412184949316,True,True
onset,mechanical_x0.5,mechanical_to_constitutive,-0.019171160167850095,-0.9847561708870931,0.17288074073652338,18358.680985724604,-1.2724798203230026,0.28013607259029855,-1.6639067667105631,0.3914269463875606,True,True
onset,mechanical_x0.5,mechanical_to_mechanical,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.77038462725364,17507.499785077343,9.68302049489072,0.08736413236291973,True,True
onset,thermal_x0.5,constitutive_to_constitutive,0.003888550897830416,0.9999924313585217,0.0001280530650405332,59355.07244687289,0.6224884858399481,1.8635597184966772,0.6219366143637427,0.00055187147620539,True,True
onset,thermal_x0.5,constitutive_to_full,0.5233508089687652,0.5251562607187368,0.6710550145700822,21315.06302222199,2.2799993841948467,9.776674389000581,1.8807283651665152,0.3992710190283315,True,True
onset,thermal_x0.5,constitutive_to_temperature,0.0,0.0,1.0,299.99999999999994,0.002454591126127146,1.0024576061012644,0.0016977487943967877,0.0007568423317303582,True,False
onset,thermal_x0.5,full_to_constitutive,-0.06392988594077599,-0.9751481820999236,0.21212965995073313,18322.000316649108,0.6558856781375195,1.9268483293042709,0.6379529113361657,0.017932766801353806,True,True
onset,thermal_x0.5,full_to_full,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.770384681240728,17507.50073025631,9.683020551501777,0.08736412973895114,True,True
onset,thermal_x0.5,mechanical_to_constitutive,-0.019171160167850095,-0.9847561708870931,0.17288074073652338,18358.680985724604,-0.5781555252354295,0.5609320379706138,-0.9695949442100612,0.39143941897463175,True,True
onset,thermal_x0.5,mechanical_to_mechanical,-0.1771759690923683,-0.5367793762693286,0.8249100418761374,283934.0230077491,9.77038462725364,17507.499785077343,9.68302049489072,0.08736413236291973,True,True
terminal,all_constitutive_x2,constitutive_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367382415788443,638822.8186408723,13.362185806582685,0.005196609205757596,True,True
terminal,all_constitutive_x2,constitutive_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368114726702938,639290.8068989319,13.368114726702938,0.0,True,True
terminal,all_constitutive_x2,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,9.636462544540082,15313.078475113085,9.636462544540082,0.0,True,True
terminal,all_constitutive_x2,full_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367442635505968,638861.289528901,13.362095218759212,0.00534741674675665,True,True
terminal,all_constitutive_x2,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368174946421483,639329.3059705817,13.368174946421483,0.0,True,True
terminal,all_constitutive_x2,mechanical_to_constitutive,-0.004614456421146296,-0.9999893482032352,0.00010135090718695746,6592.7375668461555,9.18141888242762,9714.927338056943,8.289793872791652,0.8916250096359679,True,True
terminal,all_constitutive_x2,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,9.583251636746697,0.0,True,False
terminal,baseline,constitutive_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367382415788443,638822.8186408723,13.362185806582685,0.005196609205757596,True,True
terminal,baseline,constitutive_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367565594093975,638939.847840604,13.362397381421063,0.005168212672911565,True,True
terminal,baseline,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,9.636462544540082,15313.078475113085,9.636462544540082,0.0,True,True
terminal,baseline,full_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367623251153798,638976.6882956806,13.36179355142128,0.005829699732517568,True,True
terminal,baseline,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367806429460348,639093.7456842271,13.367806429460348,0.0,True,True
terminal,baseline,mechanical_to_constitutive,-0.004614456421146296,-0.9999893482032352,0.00010135090718695746,6592.7375668461555,9.874566062987565,19429.85467611389,8.982941053351597,0.8916250096359679,True,True
terminal,baseline,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,9.583251636746697,0.0,True,False
terminal,dislocation_x2,constitutive_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,14.060493621849634,1277599.67544709,14.055178188436955,0.005315433412679482,True,True
terminal,dislocation_x2,constitutive_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,14.060676800153642,1277833.7254246238,14.055509794318537,0.0051670058351049875,True,True
terminal,dislocation_x2,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,10.329573402650711,30625.044553395193,10.329573402650711,0.0,True,True
