branch_id,horizon_id,time_s,norm_id,selector_id,input_dimension,output_dimension,log_gain
onset_x,terminal,0.00014,thermal_x2,constitutive_to_temperature,63,1,0.10014481646927577
onset_x,terminal,0.00014,dislocation_x0.5,full_to_full,69,69,6.873879205416063
onset_x,terminal,0.00014,dislocation_x0.5,constitutive_to_constitutive,63,63,0.8855257951936082
onset_x,terminal,0.00014,dislocation_x0.5,full_to_constitutive,69,63,0.8855257952297271
onset_x,terminal,0.00014,dislocation_x0.5,constitutive_to_full,63,69,2.3831565697151267
onset_x,terminal,0.00014,dislocation_x0.5,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,dislocation_x0.5,mechanical_to_constitutive,6,63,-8.916685051894373
onset_x,terminal,0.00014,dislocation_x0.5,constitutive_to_temperature,63,1,0.10042934658607745
onset_x,terminal,0.00014,dislocation_x2,full_to_full,69,69,6.873879205416065
onset_x,terminal,0.00014,dislocation_x2,constitutive_to_constitutive,63,63,1.4398986915410568
onset_x,terminal,0.00014,dislocation_x2,full_to_constitutive,69,63,1.439898692043367
onset_x,terminal,0.00014,dislocation_x2,constitutive_to_full,63,69,2.3831565697301094
onset_x,terminal,0.00014,dislocation_x2,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,dislocation_x2,mechanical_to_constitutive,6,63,-8.917966459404589
onset_x,terminal,0.00014,dislocation_x2,constitutive_to_temperature,63,1,1.4310217663571536
onset_x,terminal,0.00014,plastic_kinematic_x0.5,full_to_full,69,69,6.873832536928065
onset_x,terminal,0.00014,plastic_kinematic_x0.5,constitutive_to_constitutive,63,63,0.9428947518046752
onset_x,terminal,0.00014,plastic_kinematic_x0.5,full_to_constitutive,69,63,0.9428947522685968
onset_x,terminal,0.00014,plastic_kinematic_x0.5,constitutive_to_full,63,69,1.7052089238915302
onset_x,terminal,0.00014,plastic_kinematic_x0.5,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,plastic_kinematic_x0.5,mechanical_to_constitutive,6,63,-8.892564731107441
onset_x,terminal,0.00014,plastic_kinematic_x0.5,constitutive_to_temperature,63,1,0.7494448138461066
onset_x,terminal,0.00014,plastic_kinematic_x2,full_to_full,69,69,6.874065835821215
onset_x,terminal,0.00014,plastic_kinematic_x2,constitutive_to_constitutive,63,63,0.8908472796546101
onset_x,terminal,0.00014,plastic_kinematic_x2,full_to_constitutive,69,63,0.8908472797641273
onset_x,terminal,0.00014,plastic_kinematic_x2,constitutive_to_full,63,69,3.0724752291956188
onset_x,terminal,0.00014,plastic_kinematic_x2,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,plastic_kinematic_x2,mechanical_to_constitutive,6,63,-8.92412085711087
onset_x,terminal,0.00014,plastic_kinematic_x2,constitutive_to_temperature,63,1,0.7498330342860212
onset_x,terminal,0.00014,all_constitutive_x0.5,full_to_full,69,69,6.873832536928065
onset_x,terminal,0.00014,all_constitutive_x0.5,constitutive_to_constitutive,63,63,0.9020389991070371
onset_x,terminal,0.00014,all_constitutive_x0.5,full_to_constitutive,69,63,0.9020389999610665
onset_x,terminal,0.00014,all_constitutive_x0.5,constitutive_to_full,63,69,1.7052089238801955
onset_x,terminal,0.00014,all_constitutive_x0.5,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,all_constitutive_x0.5,mechanical_to_constitutive,6,63,-8.224570237186914
onset_x,terminal,0.00014,all_constitutive_x0.5,constitutive_to_temperature,63,1,0.7495224820522519
onset_x,terminal,0.00014,all_constitutive_x2,full_to_full,69,69,6.874065835821216
onset_x,terminal,0.00014,all_constitutive_x2,constitutive_to_constitutive,63,63,0.9020389991070371
onset_x,terminal,0.00014,all_constitutive_x2,full_to_constitutive,69,63,0.9020389991604143
onset_x,terminal,0.00014,all_constitutive_x2,constitutive_to_full,63,69,3.0724752291982163
onset_x,terminal,0.00014,all_constitutive_x2,mechanical_to_mechanical,6,6,6.873816979797368
onset_x,terminal,0.00014,all_constitutive_x2,mechanical_to_constitutive,6,63,-9.610864598306804
onset_x,terminal,0.00014,all_constitutive_x2,constitutive_to_temperature,63,1,0.7495224820522519
onset_y,near_onset,1.4375e-06,baseline,full_to_full,69,69,7.571527464301534
onset_y,near_onset,1.4375e-06,baseline,constitutive_to_constitutive,63,63,0.6213909671573791
onset_y,near_onset,1.4375e-06,baseline,full_to_constitutive,69,63,0.637362791921896
onset_y,near_onset,1.4375e-06,baseline,constitutive_to_full,63,69,1.8071957009019382
onset_y,near_onset,1.4375e-06,baseline,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,baseline,mechanical_to_constitutive,6,63,-0.9707595861506177
onset_y,near_onset,1.4375e-06,baseline,constitutive_to_temperature,63,1,-0.02200128119544356
onset_y,near_onset,1.4375e-06,mechanical_x0.5,full_to_full,69,69,7.571531570989158
onset_y,near_onset,1.4375e-06,mechanical_x0.5,constitutive_to_constitutive,63,63,0.6213909671573791
onset_y,near_onset,1.4375e-06,mechanical_x0.5,full_to_constitutive,69,63,0.6254027228601126
onset_y,near_onset,1.4375e-06,mechanical_x0.5,constitutive_to_full,63,69,2.4880707777459934
onset_y,near_onset,1.4375e-06,mechanical_x0.5,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,mechanical_x0.5,mechanical_to_constitutive,6,63,-1.6639067667105631
onset_y,near_onset,1.4375e-06,mechanical_x0.5,constitutive_to_temperature,63,1,-0.02200128119544356
onset_y,near_onset,1.4375e-06,mechanical_x2,full_to_full,69,69,7.571526437714112
onset_y,near_onset,1.4375e-06,mechanical_x2,constitutive_to_constitutive,63,63,0.6213909671573791
onset_y,near_onset,1.4375e-06,mechanical_x2,full_to_constitutive,69,63,0.6839466087924272
onset_y,near_onset,1.4375e-06,mechanical_x2,constitutive_to_full,63,69,1.1639819382294592
onset_y,near_onset,1.4375e-06,mechanical_x2,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,mechanical_x2,mechanical_to_constitutive,6,63,-0.27761240559067246
onset_y,near_onset,1.4375e-06,mechanical_x2,constitutive_to_temperature,63,1,-0.02200128119544356
onset_y,near_onset,1.4375e-06,thermal_x0.5,full_to_full,69,69,7.571527464301608
onset_y,near_onset,1.4375e-06,thermal_x0.5,constitutive_to_constitutive,63,63,0.6219585978608863
onset_y,near_onset,1.4375e-06,thermal_x0.5,full_to_constitutive,69,63,0.6379529113361657
onset_y,near_onset,1.4375e-06,thermal_x0.5,constitutive_to_full,63,69,1.807196673778934
onset_y,near_onset,1.4375e-06,thermal_x0.5,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,thermal_x0.5,mechanical_to_constitutive,6,63,-0.9695949442100612
onset_y,near_onset,1.4375e-06,thermal_x0.5,constitutive_to_temperature,63,1,-0.020085329700687965
onset_y,near_onset,1.4375e-06,thermal_x2,full_to_full,69,69,7.571527464301515
onset_y,near_onset,1.4375e-06,thermal_x2,constitutive_to_constitutive,63,63,0.6212496480295344
onset_y,near_onset,1.4375e-06,thermal_x2,full_to_constitutive,69,63,0.6372158277330942
onset_y,near_onset,1.4375e-06,thermal_x2,constitutive_to_full,63,69,1.8071954798925174
onset_y,near_onset,1.4375e-06,thermal_x2,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,thermal_x2,mechanical_to_constitutive,6,63,-0.971051171002102
onset_y,near_onset,1.4375e-06,thermal_x2,constitutive_to_temperature,63,1,-0.022481418417969513
onset_y,near_onset,1.4375e-06,dislocation_x0.5,full_to_full,69,69,7.571527464280213
onset_y,near_onset,1.4375e-06,dislocation_x0.5,constitutive_to_constitutive,63,63,0.3256099999597671
onset_y,near_onset,1.4375e-06,dislocation_x0.5,full_to_constitutive,69,63,0.3504340398236965
onset_y,near_onset,1.4375e-06,dislocation_x0.5,constitutive_to_full,63,69,1.8001869613614927
onset_y,near_onset,1.4375e-06,dislocation_x0.5,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,dislocation_x0.5,mechanical_to_constitutive,6,63,-0.9707545504334063
onset_y,near_onset,1.4375e-06,dislocation_x0.5,constitutive_to_temperature,63,1,-0.022481417076655845
onset_y,near_onset,1.4375e-06,dislocation_x2,full_to_full,69,69,7.571527464386821
onset_y,near_onset,1.4375e-06,dislocation_x2,constitutive_to_constitutive,63,63,1.0928840506563673
onset_y,near_onset,1.4375e-06,dislocation_x2,full_to_constitutive,69,63,1.100092502687883
onset_y,near_onset,1.4375e-06,dislocation_x2,constitutive_to_full,63,69,1.8391157951811696
onset_y,near_onset,1.4375e-06,dislocation_x2,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,dislocation_x2,mechanical_to_constitutive,6,63,-0.9707608450878453
onset_y,near_onset,1.4375e-06,dislocation_x2,constitutive_to_temperature,63,1,-0.020085335040292848
onset_y,near_onset,1.4375e-06,plastic_kinematic_x0.5,full_to_full,69,69,7.571526437735266
onset_y,near_onset,1.4375e-06,plastic_kinematic_x0.5,constitutive_to_constitutive,63,63,1.0926763406874245
onset_y,near_onset,1.4375e-06,plastic_kinematic_x0.5,full_to_constitutive,69,63,1.1210283105523717
onset_y,near_onset,1.4375e-06,plastic_kinematic_x0.5,constitutive_to_full,63,69,1.2754920827990122
onset_y,near_onset,1.4375e-06,plastic_kinematic_x0.5,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,plastic_kinematic_x0.5,mechanical_to_constitutive,6,63,-0.2779052501137735
onset_y,near_onset,1.4375e-06,plastic_kinematic_x0.5,constitutive_to_temperature,63,1,-0.022001282535469985
onset_y,near_onset,1.4375e-06,plastic_kinematic_x2,full_to_full,69,69,7.571531570903803
onset_y,near_onset,1.4375e-06,plastic_kinematic_x2,constitutive_to_constitutive,63,63,0.3259234383236598
onset_y,near_onset,1.4375e-06,plastic_kinematic_x2,full_to_constitutive,69,63,0.3321038356526327
onset_y,near_onset,1.4375e-06,plastic_kinematic_x2,constitutive_to_full,63,69,2.482542915853722
